Organo Jurisdicional ,PISO,MODELO,SERIE,IP
DEFENSORIA PUBLICA FEDERAL ADSCRITA AL CENTRO DE JUSTICIA PENAL FEDERAL CON SEDE EN RECLUSORIO SUR.. CDMX,PB,MX-M5071,95014429,10.70.16.11
DEFENSORIA PUBLICA FEDERAL ADSCRITA AL CENTRO DE JUSTICIA PENAL FEDERAL CON SEDE EN RECLUSORIO SUR.. CDMX,PB,MX-B450P,9F028209,10.72.16.27
DEFENSORIA PUBLICA FEDERAL ADSCRITA AL CENTRO DE JUSTICIA PENAL FEDERAL CON SEDE EN RECLUSORIO SUR.. CDMX,PB,MX-B450P,9F100029,10.72.16.28
DEFENSORIA PUBLICA FEDERAL ADSCRITA AL CENTRO DE JUSTICIA PENAL FEDERAL CON SEDE EN RECLUSORIO SUR.. CDMX,PB,MX-M5071,95008710,10.70.16.9
DEFENSORIA PUBLICA FEDERAL ADSCRITA AL CENTRO DE JUSTICIA PENAL FEDERAL CON SEDE EN RECLUSORIO SUR.. CDMX,PB,MX-M5071,95009830,10.70.16.8
DEFENSORIA PUBLICA FEDERAL ADSCRITA AL CENTRO DE JUSTICIA PENAL FEDERAL CON SEDE EN RECLUSORIO SUR.. CDMX,PB,MX-M5071,95008330,10.70.16.32
COORDINACION DE SEGURIDAD,PB,MX-B476W,9F107999,10.70.16.50
D.G.T.I. SERVICIO INFORMATICO EN RECLUSORIO PREVENTIVO SUR. CDMX,PB,MX-B450P,9F035359,10.72.16.1
FOTOCOPIADO RECLUSORIO SUR,PB,MX-M1205,95000669,10.70.16.35
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F097689,10.72.16.7
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F100039,10.72.16.18
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F100069,10.72.16.19
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F099509,10.72.16.100
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F097699,10.72.16.17
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F034839,10.72.16.13
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F095539,10.72.16.14
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F095559,10.72.16.15
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F034799,10.72.16.12
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F097159,10.72.16.16
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B450P,9F026749,10.72.16.10
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B476W,9F024669,10.70.16.13
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-M5071,95013659,10.70.16.10
D.G.S.M.D.I. SERVICIO MEDICO EN RECLUSORIO SUR. CDMX,PB,MX-B450P,9F095629,10.72.16.46
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",PB,MX-B476W,9F024989,10.70.16.27
ADMINISTRACION EDIFICIO RECLUSORIO SUR. CDMX,PB,MX-C304W,93016579,10.70.16.33
OFICINA DE CORRESPONDENCIA COMUN JZDOS. DTO. PROC. PENALES FED. D.F EN RECLUSORIO SUR. CDMX,PB,MX-B476W,9F108279,10.70.16.1
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,1P,MX-M5071,95007770,10.70.16.37
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,1P,MX-B450P,9F097719,10.72.16.23
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,1P,MX-M5071,95008550,10.70.16.29
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,1P,MX-M5071,95008650,10.70.16.9
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B476W,9F024789,10.70.16.12
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F034169,10.72.16.30
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-M5071,95010060,10.70.16.18
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F026799,10.72.16.34
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F097589,10.72.16.33
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F035209,10.72.16.47
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F035229,10.72.16.37
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F097339,10.72.16.26
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-M5071,95008540,10.70.16.25
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-M5071,95007780,10.70.16.17
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F034459,10.72.16.11
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B476W,9F108169,10.70.16.20
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F100109,10.72.16.9
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F026829,10.72.16.35
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F095739,10.72.15.7
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-M5071,95014449,10.70.16.51
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F035409,10.72.16.4
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F097089,10.72.16.5
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F097419,10.72.16.6
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-M5071,95008640,10.70.16.22
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B476W,9F107789,10.70.16.24
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F100089,10.72.16.8
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B476W,9F108289,10.70.16.23
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-M5071,95008340,10.70.16.36
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F027649,10.72.16.36
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-M5071,95009840,10.70.16.26
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F035389,10.72.16.3
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F096679,10.72.15.3
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B476W,9F108319,10.70.16.19
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F035239,10.72.16.32
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F035329,10.72.16.38
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F035219,10.72.16.31
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B476W,9F109269,10.70.16.28
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F096649,10.72.15.4
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B476W,9F025019,10.70.16.2
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,2P,MX-B450P,9F100059,10.72.16.24
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,2P,MX-B450P,9F100099,10.72.16.25
"1ER TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",2P,MX-B450P,9F035379,10.72.16.2
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,2P,MX-B450P,9F097709,10.72.16.22
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,2P,MX-B450P,9F034889,10.72.16.20
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,2P,MX-M5071,95006560,10.70.16.31
CENTRO DE JUSTICIA PENAL FEDERAL EN EL RECLUSORIO SUR.. CDMX,2P,MX-B450P,9F035029,10.72.16.21
"2DO TRIBUNAL COLEGIADO DE APELACI‡N EN MATERIA PENAL DEL 1ER CIRCUITO, CDMX",1P,MX-B450P,9F035339,10.72.16.254
